,state,article_title,revision_id,article_quality
0,Indiana,"Monrovia, Indiana",1166208211,GA
1,Alaska,"Golovin, Alaska",1178323552,C
2,Michigan,"Manlius Township, Michigan",1167334146,C
3,Pennsylvania,"Kidder Township, Carbon County, Pennsylvania",1173517818,C
4,Tennessee,"Henry, Tennessee",1166180896,GA
5,California,"Portola Valley, California",1166018135,B
6,Idaho,"Moore, Idaho",1165894170,Start
7,Pennsylvania,"Blacklick Township, Cambria County, Pennsylvania",1173676681,C
8,Pennsylvania,"Eau Claire, Pennsylvania",1177378503,Start
9,Pennsylvania,"Waterford Township, Erie County, Pennsylvania",1175373632,Stub
10,Virginia,"Albemarle County, Virginia",1174935575,GA
11,Michigan,"Mendon, Michigan",1177249663,C
12,Iowa,"Franklin County, Iowa",1160186824,C
13,Alabama,"Centreville, Alabama",1172134285,C
14,New York,"Middleburgh (village), New York",1167733230,C
15,Missouri,"Caruthersville, Missouri",1165538512,C
16,Maine,"Mercer, Maine",1166207516,Start
17,Illinois,"Wapella, Illinois",1172814573,C
18,Pennsylvania,"Telford, Pennsylvania",1177658334,GA
19,Michigan,"Bismarck Township, Michigan",1174669786,C
20,Minnesota,"Climax, Minnesota",1165644448,GA
21,New Jersey,"Somers Point, New Jersey",1179888663,FA
22,Georgia (U.S. state),"Arabi, Georgia",1166014401,C
23,Iowa,"Montgomery County, Iowa",1165721122,C
24,Illinois,"Dalton City, Illinois",1166848927,C
25,Iowa,"Spring Hill, Iowa",1165902674,C
26,Idaho,"New Meadows, Idaho",1165895305,GA
27,Virginia,"Fredericksburg, Virginia",1178256264,C
28,Alaska,"Mekoryuk, Alaska",1165893071,C
29,Illinois,"Stonington, Illinois",1167678373,B
30,Minnesota,"Cokato, Minnesota",1178233684,GA
31,Michigan,"Ortonville, Michigan",1167454584,C
32,Mississippi,"Pearl, Mississippi",1177063812,C
33,Pennsylvania,"Washingtonville, Pennsylvania",1179864075,GA
34,Iowa,"Maloy, Iowa",1165891893,C
35,Kentucky,"Augusta, Kentucky",1179403139,C
36,Pennsylvania,"Bear Creek Township, Pennsylvania",1174776565,C
37,Michigan,"Baldwin Township, Iosco County, Michigan",1166532567,Start
38,Missouri,"Lathrop, Missouri",1176606614,GA
39,New Jersey,"Tinton Falls, New Jersey",1179725779,B
40,Pennsylvania,"Fawn Township, Allegheny County, Pennsylvania",1178184714,C
41,North Dakota,"Tolley, North Dakota",1173812251,C
42,Minnesota,"Hadley, Minnesota",1165748971,C
43,New Hampshire,"Pittsburg, New Hampshire",1179544580,GA
44,Alabama,"Cullman, Alabama",1180017307,B
45,Ohio,"Wooster, Ohio",1179198901,C
46,Iowa,"Exira, Iowa",1165651024,C
47,Florida,"Bay Lake, Florida",1177962884,C
48,Iowa,"Spencer, Iowa",1178254849,GA
49,Michigan,"Rudyard Township, Michigan",1167642434,C
50,Pennsylvania,"White Township, Cambria County, Pennsylvania",1166623805,C
51,Florida,"Haverhill, Florida",1179685760,GA
52,Ohio,"Pepper Pike, Ohio",1170697960,C
53,Minnesota,"Wilton, Minnesota",1165907931,Start
54,Alabama,"Irondale, Alabama",1169440818,C
55,Pennsylvania,"Girard Township, Clearfield County, Pennsylvania",1175875811,C
56,West Virginia,"Masontown, West Virginia",1168422406,GA
57,Michigan,"Verona Township, Michigan",1167743018,Start
58,Ohio,"University Heights, Ohio",1170738637,GA
